Genes,p_vals
FOXM1,0.38862231803458297
EIF2AK3-DT,0.202997775490603
HSP90AB1,0.0383460025224234
SMG1P3,0.807455500020093
ZNF519,0.518721904613956
PIK3IP1,0.635161384706871
RPL7P52,0.175052104408003
CC2D1A,0.27160732833081497
PARG,0.860865508966925
C1QL3,0.7282211893429891
PADI2,0.15751258198344
PACC1,0.7915071100252791
PHF23,0.36017526913035103
SYNPO2,0.452489300312315
CRACR2A,0.7130161858242221
PARP15,0.825002897784533
SIL1,0.8416223793482521
DLGAP1-AS2,0.111322571238956
NSUN6,0.20999781924441105
ZC3H6,0.121908899802646
KCTD15,0.246779402922646
MBD1,0.555905330317332
LASP1,0.153004074928295
HNRNPD,0.343611236709498
ZKSCAN8,0.2369222213607
JCHAIN,0.237576905404007
RPS6KA3,0.324955662151323
DYRK3,0.626633687205562
PIK3CA,0.7995152268446549
SGO2,0.5120252392453409
ADAMTS6,0.4604211982607929
WDR20,0.624059327832472
NIPSNAP1,0.9612404383490648
ABCB10,0.156214474598733
SCFD2,0.244162704999878
C8orf58,0.0133610217153539
USP35,0.34305081582469704
TTC9,0.0925150342776223
ITFG2-AS1,0.201305830901066
CAPNS2,0.8148713989282241
CHD2,0.287150082326188
DYNC2I1,0.6099258244004631
PMPCA,0.198514232108408
ITGA2B,0.913105553138626
CSPG4P11,0.7979362092956899
IL1RN,0.11048725197846003
CENPK,0.0975719198887878
HAT1,0.451744386297376
PHACTR4,0.393374819727289
ZNF256,0.497787554593951
MDN1,0.9705028125681558
SLC30A4,0.7800835561810509
IKZF5,0.3273050499221849
CENATAC-DT,0.18219594099616893
KCTD7,0.8566450630711558
NUP98,0.2818427095505
OSGEP,0.672287703190861
PGAP6,0.0735545410441643
E2F1,0.803978447438188
SLC16A7,0.242686857893292
TBC1D9,0.522746081871981
ENGASE,0.953267071509268
SPINDOC,0.9153355848938092
STX18,0.728783557839017
NPRL3,0.333782846403797
GFOD2,0.458382305423879
MTARC1,0.0165286772858288
TTYH3,0.588088238171294
UBE2Q2,0.167481405011222
MECR,0.066623734931742
CCNY,0.573983138222365
GIPR,0.9677324960775572
NSUN5P1,0.376400369092754
SMPD2,0.9568476577983308
SRPK2,0.0413850688987681
ZNF618,0.0441931633611514
DCDC2B,0.341069183319207
TAS2R20,0.7215663183754342
CCDC61,0.425936346128778
FHAD1,0.39086940896845
ZNF548,0.777303410246803
NARF-IT1,0.6573979751092739
RCBTB1,0.322565617128596
TUBA1B,0.6850492728125159
SERAC1,0.0195766996105522
C1GALT1C1,0.760978032881828
TGFBI,0.373812589802826
ATP7A,0.635037559716864
MLEC,0.5307018932312071
POLA2,0.999196188229592
ARHGAP27P1-BPTFP1-KPNA2P3,0.3897772278028879
TAFAZZIN,0.458461456647094
YJU2,0.28813807947761105
ZNF563,0.8914031291415749
DDX41,0.3988190049132671
MBTD1,0.24467939396677
GTF2F1,0.134533992139057
CEP41,0.4705557106794029
ZNF696,0.34129955223617503
SPPL2A,0.230368379665019
POLR2J2,0.625534628907413
SUSD1,0.967399506709536
TREX2,0.6584476586541109
CCDC97,0.0523560453504125
MYH9,0.6180629606894711
C5AR1,0.977869455572055
HAAO,0.203053942924926
EXD3,0.770681638858071
IL11RA,0.0724195304071807
MEX3C,0.0326637306903152
NOTCH4,0.0259838442432001
ZNF77,0.1597336124073
HTR7P1,0.15807740508430898
WASH5P,0.7741549125910779
UHRF2,0.0558049906686817
IRF1,0.24883161696706696
C10orf95,0.913504211378403
HACD2,0.273512866665251
NDUFAF6,0.788204578928823
LMTK2,0.7992858243169141
IL7R,0.0162039580687831
SAFB,0.431486801793094
EMP3,0.7796488615611892
OR2A1-AS1,0.17650217240557298
MCUB,0.220720494309523
KCP,0.0780511411885495
PLA2G12A,0.314160432079058
PMS2,0.238553679353576
BST2,0.00273789831014696
POLDIP2,0.757570968984922
PSD3,0.639905727073284
TRBV12-3,0.29326063187921303
ANAPC1,0.7138802747099351
CD163,0.271241288172274
GEMIN6,0.369574293760621
BICRAL,0.461871760954564
MGST3,0.0389854974205226
PRKRA,0.743306596062517
PRKAR2A-AS1,0.6850833816595611
CHFR,0.931724837847561
ABHD17AP1,0.8167926740050501
HIPK2,0.0114571739675088
SPPL2B,0.7288102427093219
ATP2B1-AS1,0.36510460257831895
STX1A,0.16662232942663902
ARL16,0.931724056971248
ITPRIPL2,0.87021598756392
LINC00852,0.290690588241834
ABHD17B,0.456512853152262
AGFG2,0.194622113388585
ABHD17AP5,0.584834838775547
CYSLTR1,0.281665005410989
STAG1-DT,0.818484663391996
SCARF1,0.119144072888917
BIN1,0.62181064297262
SHISA4,0.00353403133551758
PLXNB2,0.0365485484753059
NR1D1,0.8129060260394259
UHMK1,0.3851508499467821
COX15,0.7980963287719169
RAP1GDS1,0.86281913286669
TM9SF4,0.420405800088048
ZNF528-AS1,0.271118831519109
C1QTNF3,0.951931532457098
ALCAM,0.358792756929694
RECQL4,0.7558049149286701
TRMT12,0.813058421217345
ATP8A1,0.961374691245301
GDPD1,0.8915105948876341
LMOD3,0.226699990311013
LCMT1,0.3895560605540711
LRRC18,0.0326037813057366
F2RL3,0.347559716232722
CENPX,0.111111667587332
SLX1B-SULT1A4,0.914373439794748
ZMAT2,0.180619583106872
SMPD4,0.44871706972577297
ACAT1,0.348892630890206
BLOC1S2,0.686770911163436
TAF1B,0.371964025886418
USO1,0.7000549594016321
ERGIC1,0.00849576902820211
C19orf47,0.36298570628865
JMJD7,0.618209152821526
PRPH2,0.556595178465203
LMBRD2,0.790265188841636
NAA60,0.2971569111995169
ZNF780B,0.8504762269472629
TMEM200A,0.000916630647937131
IBTK,0.993855684022522
RNF32-DT,0.6831547690576141
TNFSF8,0.17329182585706498
FYN,0.0176168538243788
VSIG2,0.946905621794496
IPO9,0.19804511097765096
RXYLT1,0.30181308951471003
DPP9,0.525039325608702
EIPR1,0.6478995549643679
EIF4EBP2,0.309025356166433
AVPR2,0.5868592082610671
